Date,Open,High,Low,Close,Volume,person_buyer_count,company_buyer_count,person_buy_volume,company_buy_volume,person_seller_count,company_seller_count,person_sell_volume,company_sell_volume,person_owner_change,company_owner_change
2015-06-23,15,15,15,15,9085134,399,2,8585134,500000,284,10,5548416,3536718,3036718,-3036718
2015-06-24,15,15,15,15,9693569,424,10,8524791,1168778,304,4,6191532,3502037,2333259,-2333259
2015-06-27,15,15,15,15,7534854,303,7,4857105,2677749,219,5,3470540,4064314,1386565,-1386565
2015-06-28,14,14,14,14,7342096,270,6,4337096,3005000,205,4,3253085,4089011,1084011,-1084011
2015-06-29,14,15,14,15,5739709,218,6,3306492,2433217,190,4,2841157,2898552,465335,-465335
2015-06-30,15,15,15,15,18729948,434,8,16289622,2440326,367,13,6071886,12658062,10217736,-10217736
2015-07-01,15,15,15,15,10565761,346,5,9760761,805000,403,6,10137761,428000,-377000,377000
2015-07-04,16,16,16,16,44734910,688,8,40016648,4718262,549,16,13354163,31380747,26662485,-26662485
2015-07-05,16,16,16,16,21721616,696,1,21521616,200000,535,12,14443849,7277767,7077767,-7077767
2015-07-06,16,16,16,16,14549211,559,4,13298256,1250955,288,5,7030710,7518501,6267546,-6267546
2015-07-07,16,16,16,16,22368093,794,3,22060093,308000,542,12,11779682,10588411,10280411,-10280411
2015-07-11,16,16,16,16,12770994,403,11,8599559,4171435,500,4,10279350,2491644,-1679791,1679791
2015-07-12,16,17,16,16,16179368,453,5,8911083,2626519,438,7,10619012,918590,-1707929,1707929
2015-07-13,16,17,16,16,62621208,1865,26,46258678,16362530,1161,20,30470336,32150872,15788342,-15788342
2015-07-22,15,15,14,14,15232360,566,7,10282360,4950000,403,4,14152360,1080000,-3870000,3870000
2015-07-25,14,15,14,14,14531378,399,14,7080055,7451323,404,2,14530368,1010,-7450313,7450313
2015-07-26,14,15,14,15,14882478,427,13,8095960,6786518,500,3,14805436,77042,-6709476,6709476
2015-07-27,14,14,14,14,5392465,184,8,2469587,2922878,240,1,5112024,280441,-2642437,2642437
2015-07-28,14,14,14,14,4405597,170,5,3372534,1027063,272,0,4399597,0,-1027063,1027063
2015-07-29,15,15,14,15,24061326,382,11,12481326,11580000,588,11,14293251,9768075,-1811925,1811925
2015-08-01,15,15,15,15,12209997,217,6,4010506,3188561,307,5,6181866,1017201,-2171360,2171360
2015-08-02,15,15,15,15,7042815,233,2,4801429,2241386,283,2,5730974,1311841,-929545,929545
2015-08-03,15,15,15,15,5698914,123,6,1953113,3745801,293,0,5698914,0,-3745801,3745801
2015-08-04,15,15,14,15,8489371,119,6,1850149,6639222,350,1,8354371,135000,-6504222,6504222
2015-08-05,15,15,14,15,7940607,241,4,5798150,2139500,298,1,7437650,500000,-1639500,1639500
2015-08-08,15,15,14,14,8341391,202,6,3065391,5276000,284,2,8031503,309888,-4966112,4966112
2015-08-09,14,14,14,14,5871012,134,4,1473640,4397372,246,0,5871012,0,-4397372,4397372
2015-08-10,14,14,14,14,4362257,72,5,679339,3682918,194,2,2362257,2000000,-1682918,1682918
2015-08-12,14,14,14,14,1369202,108,1,1239202,130000,121,0,1369202,0,-130000,130000
2015-08-15,14,14,14,14,5978595,285,3,3688595,2290000,219,1,3004139,2974456,684456,-684456
2015-08-16,14,14,14,14,5477651,150,7,2094016,3383635,181,3,3582273,1895378,-1488257,1488257
