Date,Open,High,Low,Close,Volume,person_buyer_count,person_buy_volume,person_seller_count,company_seller_count,person_sell_volume,company_sell_volume,person_owner_change,company_owner_change,company_buyer_count,company_buy_volume
2015-06-23,107,107,104,107,95297,11,95297,10,0,95297,0,0,0,0,0
2015-06-24,107,107,103,107,79583,14,79583,11,0,79583,0,0,0,0,0
2015-06-27,105,107,105,107,47526,4,47526,7,0,47526,0,0,0,0,0
2015-06-28,105,107,103,107,37172,7,37172,9,0,37172,0,0,0,0,0
2015-06-29,103,106,103,104,148416,8,148416,8,0,148416,0,0,0,0,0
2015-06-30,106,109,103,109,322868,16,322868,22,2,140196,182672,182672,-182672,0,0
2015-07-01,109,109,106,107,31369,7,31369,3,1,19041,12328,12328,-12328,0,0
2015-07-04,108,112,108,112,1664889,17,419315,33,4,820690,844199,-401375,401375,2,1245574
2015-07-05,107,112,106,107,109926,11,109926,7,0,109926,0,0,0,0,0
2015-07-06,108,110,108,108,18115,3,18115,3,0,18115,0,0,0,0,0
2015-07-07,107,112,107,111,343304,15,343304,19,0,343304,0,0,0,0,0
2015-07-11,111,113,111,113,53298,10,53298,6,0,53298,0,0,0,0,0
2015-07-12,111,114,111,111,231619,13,230799,14,1,130799,100000,100000,-100000,0,0
2015-07-13,114,116,114,116,2591631,13,464000,20,5,240131,2351500,223869,-223869,1,2127631
2015-07-14,121,121,113,116,5537046,23,337046,28,2,446017,5091029,-108971,108971,2,5200000
2015-07-15,114,114,111,111,413513,13,263513,17,1,392825,20688,-129312,129312,1,150000
2015-07-20,110,112,110,110,134482,10,134482,11,0,134482,0,0,0,0,0
2015-07-21,116,116,110,110,255864,16,204364,12,0,255864,0,-51500,51500,2,51500
2015-07-22,110,110,109,110,218750,6,218750,3,0,218750,0,0,0,0,0
2015-07-25,110,110,107,107,106855,10,105723,13,0,106855,0,-1132,1132,1,1132
2015-07-26,110,112,108,112,113222,8,113222,9,0,113222,0,0,0,0,0
2015-07-27,111,111,107,107,834592,12,734592,4,1,734701,99891,-109,109,1,100000
2015-07-28,106,110,106,110,60922,4,10922,7,0,60922,0,-50000,50000,1,50000
2015-07-29,108,108,106,106,356784,18,156784,8,0,356784,0,-200000,200000,1,200000
2015-08-01,106,110,106,110,99106,2,2337,2,0,2337,0,0,0,0,0
2015-08-02,107,107,106,106,53076,9,53076,6,0,53076,0,0,0,0,0
2015-08-03,106,107,106,107,5708,1,5708,3,0,5708,0,0,0,0,0
2015-08-04,106,107,105,107,422955,28,322955,9,0,422955,0,-100000,100000,1,100000
2015-08-05,109,109,104,106,155324,10,55324,10,0,155324,0,-100000,100000,1,100000
2015-08-08,105,106,104,104,461719,20,454944,4,1,318998,142721,135946,-135946,1,6775
2015-08-09,103,105,103,105,19690,3,19690,4,0,19690,0,0,0,0,0
2015-08-10,104,105,104,105,43208,4,43208,7,0,43208,0,0,0,0,0
2015-08-12,104,104,103,104,38964,6,38964,4,0,38964,0,0,0,0,0
2015-08-15,103,104,103,104,46808,2,46808,4,0,46808,0,0,0,0,0
2015-08-16,103,104,103,104,48827,5,48827,7,0,48827,0,0,0,0,0
2015-08-17,104,105,104,104,61676,3,61676,10,0,61676,0,0,0,0,0
2015-08-18,103,104,103,104,60482,5,21625,4,0,21625,0,0,0,0,0
2015-08-19,104,104,104,104,8000,3,8000,4,0,8000,0,0,0,0,0
2015-08-22,103,104,103,103,136546,8,136546,4,0,136546,0,0,0,0,0
2015-08-23,103,104,103,103,260385,13,160385,5,0,260385,0,-100000,100000,1,100000
2015-08-24,102,104,102,102,1200405,19,100405,15,1,1168827,31578,-1068422,1068422,2,1100000
2015-08-25,101,103,101,101,651438,11,51438,10,1,151438,500000,-100000,100000,2,600000
2015-08-29,104,104,100,101,91236,14,49109,4,0,89236,0,-40127,40127,1,40127
2015-08-30,100,101,100,101,39982,11,39982,7,0,39982,0,0,0,0,0
2015-08-31,101,102,100,102,732300,12,47588,11,1,232300,500000,-184712,184712,2,684712
2015-09-01,101,101,99,99,88135,17,88135,8,0,88135,0,0,0,0,0
2015-09-02,99,99,99,99,232835,25,132835,9,0,232835,0,-100000,100000,1,100000
